id,execution_date,sku,ds,yhat,yhat_lower,yhat_upper,model_version,created_at
0013dc0a-a0dc-44c0-bb3c-c38195550067,2026-02-21,SKU-003,2026-02-26,238,0,779,prophet-v2.0,2026-02-21 15:43:38.495505+00
003f4704-9425-4536-ac31-22feaa383469,2026-02-21,SKU-002,2025-12-31,1,0,3,prophet-v2.0,2026-02-21 15:43:38.13395+00
0048653f-c856-4ada-a532-ed7481817a03,2026-02-21,SKU-003,2026-08-18,333,0,831,prophet-v2.0,2026-02-21 15:43:38.495505+00
0050ff9c-553c-4743-9a9a-34f9e3c63bba,2026-02-21,SKU-003,2026-01-14,42,0,535,prophet-v2.0,2026-02-21 15:43:38.495505+00
00659535-c842-4763-ba11-097eaf56f995,2026-02-21,SKU-002,2026-06-04,0,0,2,prophet-v2.0,2026-02-21 15:43:38.495505+00
00ea4737-a870-4ec2-bbf4-1d4603c2e222,2026-02-21,SKU-001,2026-10-17,208,104,302,prophet-v2.0,2026-02-21 15:43:38.13395+00
00ec4751-25b4-42c5-beea-489600d6fd77,2026-02-21,SKU-003,2026-11-11,82,0,606,prophet-v2.0,2026-02-21 15:43:38.659496+00
0100958d-c8c4-4e4e-bb17-18c881d3c6e3,2026-02-21,SKU-001,2026-05-06,187,90,287,prophet-v2.0,2026-02-21 15:43:38.13395+00
0228df5f-f6b1-4636-ae9c-80c8cb193260,2026-02-21,SKU-002,2026-08-29,0,0,2,prophet-v2.0,2026-02-21 15:43:38.495505+00
0265ae35-7242-4e2c-93ea-cd9a427b758e,2026-02-21,SKU-003,2026-05-11,381,0,904,prophet-v2.0,2026-02-21 15:43:38.495505+00
02b4df42-8bd8-44bc-ac9c-62163925e8c2,2026-02-21,SKU-003,2026-07-16,447,0,943,prophet-v2.0,2026-02-21 15:43:38.495505+00
02b7e305-bd54-4083-b0c0-7c603ced4050,2026-02-21,SKU-003,2026-04-24,357,0,888,prophet-v2.0,2026-02-21 15:43:38.495505+00
02c416b2-cfd3-421e-a264-9b1747c0ec37,2026-02-21,SKU-002,2026-07-08,0,0,3,prophet-v2.0,2026-02-21 15:43:38.495505+00
02ee0e03-0c4f-4394-9eba-9611b54f158b,2026-02-21,SKU-001,2026-04-12,187,85,283,prophet-v2.0,2026-02-21 15:43:38.13395+00
03009295-7cb4-4fd6-89ed-9374b3a314af,2026-02-21,SKU-002,2026-05-15,0,0,3,prophet-v2.0,2026-02-21 15:43:38.13395+00
0304ef2f-8cec-4f88-913b-b0d7b1ffa51a,2026-02-21,SKU-002,2026-06-22,0,0,2,prophet-v2.0,2026-02-21 15:43:38.495505+00
037f3d6f-8c83-4fd8-a9cf-3fd8275c1adf,2026-02-21,SKU-002,2026-12-17,1,0,3,prophet-v2.0,2026-02-21 15:43:38.495505+00
038d8edd-9160-4afc-a120-70bd30a44fc0,2026-02-21,SKU-002,2026-03-29,0,0,3,prophet-v2.0,2026-02-21 15:43:38.13395+00
042f5733-3008-4c4c-98a5-8eb92916ffc9,2026-02-21,SKU-002,2026-08-28,0,0,2,prophet-v2.0,2026-02-21 15:43:38.495505+00
0462f0bc-93dc-4994-bf27-4bce45449a8b,2026-02-21,SKU-001,2026-02-20,192,101,298,prophet-v2.0,2026-02-21 15:43:38.13395+00
04d07836-f3e9-4211-8341-6b235c000a06,2026-02-21,SKU-003,2026-11-09,0,0,503,prophet-v2.0,2026-02-21 15:43:38.659496+00
05237ff4-0c4f-48e8-98fe-5ac6c213cd55,2026-02-21,SKU-003,2026-10-07,211,0,729,prophet-v2.0,2026-02-21 15:43:38.495505+00
057a4c25-8d1b-4d79-8374-a52b103d3582,2026-02-21,SKU-003,2026-08-15,359,0,854,prophet-v2.0,2026-02-21 15:43:38.495505+00
05c27b9f-e141-47b7-b0d5-6b09ed2e4c45,2026-02-21,SKU-001,2026-01-31,195,97,296,prophet-v2.0,2026-02-21 15:43:38.13395+00
